DATE,VI,LM,SI,N
2017-04-09 01:00:00,4.898789930188278,5.3,5.254324668412118,1.7
2017-04-09 02:00:00,4.581384387560822,4.7,5.490212762896682,1.1
2017-04-09 03:00:00,3.696107467738524,4.7,4.952330106165665,-0.1
2017-04-09 04:00:00,4.207931457584092,4.5,5.75835910751791,-0.2
2017-04-09 05:00:00,3.678662999788449,4.4,5.0198506775613545,-0.8
2017-04-09 06:00:00,4.466822932092236,3.0,4.6441781511637945,-0.6
2017-04-09 07:00:00,4.593686481912418,4.3,4.625416462870788,0.1
2017-04-09 08:00:00,5.901834567378888,5.6,5.3634616767845325,1.1
2017-04-09 09:00:00,6.738503067484663,7.0,6.4966254998993005,2.6
2017-04-09 10:00:00,7.321922572456104,7.7,7.3880103288546195,4.9
2017-04-09 11:00:00,7.511554897397928,8.9,8.636468553097219,6.7
2017-04-09 12:00:00,8.726524222551301,10.3,9.691118335874787,8.2
2017-04-09 13:00:00,9.139574360059234,10.8,10.534044940587506,9.4
2017-04-09 14:00:00,10.55946181510472,10.2,11.244295393733637,9.1
2017-04-09 15:00:00,10.715393272688805,12.5,12.428154040912618,10.6
2017-04-09 16:00:00,10.92906790776391,12.4,12.617903587766492,10.9
2017-04-09 17:00:00,10.695282420139623,12.1,11.880763946830854,10.8
2017-04-09 18:00:00,10.398812777660249,11.7,10.425754883908276,9.9
2017-04-09 19:00:00,9.965875185106832,10.6,10.591477616019798,8.3
2017-04-09 20:00:00,9.539150412523801,10.3,9.140561613487929,6.0
2017-04-09 21:00:00,9.23231309498625,9.3,8.021799925194925,5.6
2017-04-09 22:00:00,9.048045694943939,9.1,7.340236499122479,3.4
2017-04-09 23:00:00,9.2728741273535,9.1,7.166036697643642,2.4
2017-04-10 00:00:00,8.981183837529088,8.8,6.4394481687142155,1.9
2017-04-10 01:00:00,8.569343769832875,9.0,5.406284345599447,-1.5
2017-04-10 02:00:00,8.231264649883647,8.0,5.111165736398424,-2.4
2017-04-10 03:00:00,7.860247937381003,7.3,3.3801834882182007,-2.7
2017-04-10 04:00:00,7.363130949862491,6.7,2.9067720171476252,-2.0
2017-04-10 05:00:00,7.221521472392638,6.7,2.2852274361999023,-3.3
2017-04-10 06:00:00,6.7184150624074475,6.4,2.1276322035848896,-3.8
2017-04-10 07:00:00,6.689007827374656,6.9,2.762047573150732,-4.1
2017-04-10 08:00:00,7.5697677173683084,7.1,3.703826567310182,0.1
2017-04-10 09:00:00,8.215593822720543,7.1,4.983917268463907,3.0
2017-04-10 10:00:00,9.337092447641211,8.3,6.621440645049918,5.3
2017-04-10 11:00:00,9.447598899936537,8.6,7.394029619932676,7.6
2017-04-10 12:00:00,8.687289189760948,7.3,7.594714014443134,9.0
2017-04-10 13:00:00,8.716295324730272,9.3,7.72781921627298,9.7
2017-04-10 14:00:00,8.642680770044429,9.5,7.814785870472137,10.1
2017-04-10 15:00:00,8.865111910302517,10.1,7.24284712432028,11.3
2017-04-10 16:00:00,8.461095832451871,10.6,6.328341053600713,11.2
2017-04-10 17:00:00,8.714121430082505,10.7,6.838788229709125,10.3
2017-04-10 18:00:00,8.200647345039137,9.9,6.6280159392352616,9.3
2017-04-10 19:00:00,7.794657922572457,8.4,6.225070489397818,8.3
2017-04-10 20:00:00,6.835620055003173,6.9,5.563219639209368,5.1
2017-04-10 21:00:00,6.685700867357732,7.1,4.195177230485945,4.9
2017-04-10 22:00:00,6.382817854876242,7.4,3.7671159766378,2.5
2017-04-10 23:00:00,5.481969959805374,6.8,3.2578164110826595,3.2
2017-04-11 00:00:00,5.0914897397926815,6.9,2.44851684552752,5.1
2017-04-11 01:00:00,4.9601861645864185,6.4,2.529755157234514,2.8
2017-04-11 02:00:00,4.021459699598053,5.8,0.9623385217366284,4.3
2017-04-11 03:00:00,4.344253014596997,5.5,1.0693770319647842,2.5
2017-04-11 04:00:00,3.6504429870954103,6.1,0.5197711971689156,2.3
2017-04-11 05:00:00,2.5522547070023265,4.6,-0.25757077710964704,0.2
2017-04-11 06:00:00,2.1748246244975666,5.0,-0.3950941536956585,0.5
2017-04-11 07:00:00,2.5009248995134343,5.9,-0.031144805362948568,0.7
2017-04-11 08:00:00,3.9645415697059447,7.2,2.7287456483586037,1.1
2017-04-11 09:00:00,5.641185529934419,8.6,4.288961216445609,3.3
2017-04-11 10:00:00,7.756154855087793,9.5,6.0134512472307735,5.4
2017-04-11 11:00:00,8.76652253014597,10.3,8.195640446528756,7.0
2017-04-11 12:00:00,9.736467950074044,10.6,9.697113171447477,6.7
2017-04-11 13:00:00,10.264040617727947,10.1,11.141083450815664,8.3
2017-04-11 14:00:00,10.883303575206263,9.9,11.151008789596341,5.5
2017-04-11 15:00:00,11.377090755235882,10.1,11.565514860315904,5.7
2017-04-11 16:00:00,11.671101332769195,9.7,12.141349943896193,7.2
2017-04-11 17:00:00,12.035704675269727,9.8,12.440039776160198,7.2
2017-04-11 18:00:00,11.246835625132217,9.5,11.722228975458178,5.3
2017-04-11 19:00:00,10.487597207531204,9.1,10.574095865581032,4.4
2017-04-11 20:00:00,9.725676327480432,8.8,8.779336536525017,3.3
2017-04-11 21:00:00,9.223864607573514,8.5,6.855856014615759,1.6
2017-04-11 22:00:00,8.57745292997673,8.2,6.099733506919469,2.2
2017-04-11 23:00:00,8.216379944996827,7.9,5.132154314238858,2.3
2017-04-12 00:00:00,8.205248995134335,8.1,4.21603741692321,1.5
2017-04-12 01:00:00,8.437762640152316,8.3,4.185030713237621,1.4
2017-04-12 02:00:00,8.485361540088851,8.3,4.853073121961044,1.1
2017-04-12 03:00:00,8.251013327691982,8.2,4.64623133469517,0.5
2017-04-12 04:00:00,7.904177702559763,8.3,4.637882656731018,0.7
2017-04-12 05:00:00,7.339574360059234,8.6,4.70330472998245,-0.2
2017-04-12 06:00:00,7.017004442563994,8.7,4.599570949736744,0.1
2017-04-12 07:00:00,7.053387772371483,8.4,4.623376586011451,0.1
2017-04-12 08:00:00,7.167285804950287,8.0,4.852748007595592,1.6
2017-04-12 09:00:00,7.306212819970383,8.1,5.5124417383548625,4.8
2017-04-12 10:00:00,7.403106409985192,8.1,5.60209849814426,6.3
2017-04-12 11:00:00,7.713050137507932,8.2,5.4942716575078405,8.9
2017-04-12 12:00:00,8.200647345039137,8.8,5.609983960065597,10.5
2017-04-12 13:00:00,9.241069600169242,9.5,6.08617832379089,11.2
2017-04-12 14:00:00,10.42640829278612,9.8,6.383917268463906,11.6
